,solar,P_solar_max,P_solar_min,P_load,load_min,load_max,SOC_min,SOC_max,P_batt_max,P_batt_min,battery_eta,import_price,export_price,raise_price,lower_price,nu,P_solar,P_meter,P_batt,SOC,Online,import_DOE,export_DOE,import_IOE,export_IOE,settled_revenue,aggregator,R_bid,L_bid
46,0.0,0,-10,0.8437287118506663,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00069,0.04600164,0.1,0.0,0.0,-0.8437287118506663,2.2205124784270818,1,32.99999904950213,-15.0,33.0,-15.0,0.02264074430408676,1,4.156271288149334,5.843728711850666
47,0.0,0,-10,0.6600629075326665,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00064,0.04954,0.1,0.0,0.0,-0.6600629075326665,2.1593955425444276,1,32.999998482278244,-14.999999458837635,33.0,-15.0,0.02359808968152895,1,4.339937092467333,5.660062907532667
48,0.0,0,-10,0.4167739320493333,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00064,0.08494,0.1,0.0,0.0,-0.4167739320493333,2.120805363650971,1,32.9999984333911,-14.999999454075823,33.0,-15.0,0.038586170205979896,1,4.583226067950667,5.416773932049333
49,0.0,0,-10,0.4741124846578645,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0014,0.05453998,0.1,0.0,0.0,-0.4741124846578645,2.0769060595159834,1,32.99999844007775,-15.0,33.0,-15.0,0.025407852329372434,1,4.525887515342135,5.474112484657865
50,0.0,0,-10,0.5091037175395254,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00184,0.05459567,0.1,0.0,0.0,-0.5091037175395254,2.0297668264104716,1,32.999998440932046,-14.999999956853378,33.0,-15.0,0.025753038143190694,1,4.490896282460475,5.509103717539525
51,0.0,0,-10,0.4781888392943334,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0014,0.04479,0.1,0.0,0.0,-0.4781888392943334,1.9854900820313666,1,32.9999984500112,-15.0,33.0,-15.0,0.020974884478081757,1,4.521811160705667,5.478188839294333
52,0.0,0,-10,0.5249926712052542,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.001,0.07418311,0.1,0.0,0.0,-0.5249926712052542,1.9368796495123615,1,32.999998461052485,-15.0,33.0,-15.0,0.034528012200500655,1,4.475007328794746,5.524992671205254
53,0.0,0,-10,0.5060667121007866,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00155,0.0249,0.1,0.0,0.5060667121007866,0.0,1.9368796495123615,0,33.0,-15.0,33.0,-15.0,0.004694999432073502,1,5.0,5.0
54,0.0,0,-10,0.5576737978686663,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00164,0.02063,0.1,0.0,0.5576737978686663,0.0,1.9368796495123615,1,32.99999841732281,-15.0,33.0,-15.0,0.0023082441933083364,1,5.0,5.0
55,0.0,0,-10,0.4970499851405933,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0014,0.02261383,0.1,0.0,0.4970499851405933,0.0,1.9368796495123615,1,32.99999846386941,-15.0,33.0,-15.0,0.0037926376857425857,1,5.0,5.0
56,0.0,0,-10,0.5076883559057374,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00159,0.01947,0.1,0.0,0.5076883559057374,0.0,1.9368796495123615,0,33.0,-15.0,33.0,-15.0,0.002428895551178283,1,5.0,5.0
57,0.0,0,-10,0.9963430490290004,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00159,0.01589,0.1,0.0,0.9963430490290004,0.0,1.9368796495123615,1,32.99999893912302,-14.999999396936818,33.0,-15.0,-0.005170954779529171,1,5.0,5.0
58,0.0,0,-10,0.5706119368753897,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00153,0.03774,0.1,0.0,0.5706119368753897,0.0,1.9368796495123615,1,32.99999881599089,-14.999999334470665,33.0,-15.0,0.009229850789057628,1,5.0,5.0
59,0.0,0,-10,0.5311724693006665,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00178,0.011,0.1,0.0,0.5311724693006665,0.0,1.9368796495123615,1,32.99999843657002,-15.0,33.0,-15.0,-0.0013146558662583312,1,5.0,5.0
60,0.0,0,-10,0.461816915212333,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00153,0.01078,0.1,0.0,0.461816915212333,0.0,1.9368796495123615,1,32.99999778346978,-15.0,33.0,-15.0,-0.0006435447734874956,1,5.0,5.0
61,0.0,0,-10,0.4956106525066663,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00159,0.00384,0.1,0.0,5.495610652506667,5.0,2.3118796495123615,1,32.99999846604026,-14.999999448099228,33.0,-15.0,-0.06737013315633332,1,10.0,0.0
62,0.0,0,-10,0.6116158690214234,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00165,0.004,0.1,0.0,2.178092048553448,1.5664761795320246,2.429365362977263,1,32.99999849096385,-14.999999303010508,33.0,-15.0,-0.02517875219207645,1,6.566476179532025,3.4335238204679754
63,0.0,0,-10,0.5489949885238247,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00141,0.00384,0.1,0.0,0.5489949885238247,0.0,2.429365362977263,1,32.99999881689194,-15.0,33.0,-15.0,-0.0046749373565478074,1,5.0,5.0
64,0.0,0,-10,0.431093618465,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00179,0.004,0.1,0.0,5.431093618465,5.0,2.804365362977263,1,32.99999842793944,-15.0,33.0,-15.0,-0.06639700356414582,1,10.0,0.0
65,0.0,0,-10,0.420313775492,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00288,0.0066,0.1,0.0,0.420313775492,0.0,2.804365362977263,1,32.999998456315446,-15.0,33.0,-15.0,-0.0013039221936499987,1,5.0,5.0
66,0.0,0,-10,0.4475927083176667,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00288,0.0081,0.1,0.0,0.4475927083176667,0.0,2.804365362977263,1,32.99999847141173,-15.0,33.0,-15.0,-0.001019908853970834,1,5.0,5.0
