,solar,P_solar_max,P_solar_min,P_load,load_min,load_max,SOC_min,SOC_max,P_batt_max,P_batt_min,battery_eta,import_price,export_price,raise_price,lower_price,nu,P_solar,P_meter,P_batt,SOC,Online,import_DOE,export_DOE,upper_IOE,lower_IOE,Upper_DOE_Breach,Lower_DOE_Breach,settled_revenue,aggregator,R_bid,L_bid
69,0.0,0,-7,0.17719500052949938,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0026,0.0041,0.05,,,,,,,,,,,,,1,,
70,0.0,0,-7,0.1774988648735184,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0034,0.0041,0.05,,,,,,,,,,,,,1,,
71,0.0,0,-7,0.1114920009533997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00339,0.003,0.05,,,,,,,,,,,,,1,,
72,0.0,0,-7,0.0378959990676003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0029,0.003,0.05,,,,,,,,,,,,,1,,
73,0.0,0,-7,0.0594210000143997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.002,0.0066,0.05,,,,,,,,,,,,,1,,
74,-0.0263999997272724,0,-7,0.028323001849200297,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00299,0.0065,0.05,,,,,,,,,,,,,1,,
75,-0.0531111105755556,0,-7,0.0748170005613003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00288,0.004,0.05,,,,,,,,,,,,,1,,
76,-0.2543999993563632,0,-7,0.0793830018132,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00324,0.004,0.05,,,,,,,,,,,,,1,,
77,-0.5373333308466671,0,-7,0.17555247630006118,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0029,0.004,0.05,,,,,,,,,,,,,1,,
78,-0.6039272761439999,0,-7,0.1055337036274917,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0029,0.00381,0.05,,,,,,,,,,,,,1,,
79,-0.19133333248666679,0,-7,0.0648762713932572,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00299,0.003,0.05,,,,,,,,,,,,,1,,
80,-0.6066666662666663,0,-7,0.0687753439608096,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00387,0.00239,0.05,,,,,,,,,,,,,1,,
81,-1.223127268232724,0,-7,0.0181530014366997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00379,0.00239,0.05,,,,,,,,,,,,,1,,
82,-1.305333339493332,0,-7,0.014736000224699999,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0034,0.00239,0.05,,,,,,,,,,,,,1,,
83,-0.8275636397629091,0,-7,0.0538710004946997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00637,0.00233,0.05,,,,,,,,,,,,,1,,
84,-1.0720000088199984,0,-7,0.008223000984,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00556015,0.00239,0.05,,,,,,,,,,,,,1,,
85,-0.305454548718546,0,-7,0.22260600079020001,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00455,0.00239,0.05,,,,,,,,,,,,,1,,
86,-1.1395555542511115,0,-7,0.27840000077309973,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00552,0.00209,0.05,,,,,,,,,,,,,1,,
87,-1.763127284480724,0,-7,0.2981399991509997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00637,0.00239,0.05,,,,,,,,,,,,,1,,
88,-0.7148888862822227,0,-7,0.2758890005390997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00677,0.00233,0.05,,,,,,,,,,,,,1,,
89,-0.1998545448872724,0,-7,0.29355300021269976,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00677,0.00233,0.05,,,,,,,,,,,,,1,,
90,-0.20622222208444438,0,-7,0.1619129987685,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00634,0.00181,0.05,,,,,,,,,,,,,1,,
91,-0.1734545465018184,0,-7,0.1101900013656003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.01031,0.00189,0.05,,,,,,,,,,,,,1,,
92,-0.1646666667511116,0,-7,0.12294900089610031,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.01491,0.00218,0.05,,,,,,,,,,,,,1,,
93,-0.7970181779432723,0,-7,0.1527899999195997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02036,0.00209,0.05,,,,,,,,,,,,,1,,
94,-1.1831111205977771,0,-7,0.2285489993325003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02041,0.00184,0.05,,,,,,,,,,,,,1,,
95,-1.81221818056146,0,-7,0.2004809992148997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02533,0.0017,0.05,,,,,,,,,,,,,1,,
96,-1.64777779049556,0,-7,0.2474519999798997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.01773,0.00113,0.05,,,,,,,,,,,,,1,,
